id;path;contents_xslt;description
1;Auto Salad index;Rubber morph;Shirt Account
2;teal info-mediaries;architect multi-tasking Croatia;Rubber Books architectures
3;synergize Malaysia;infomediaries;Optimization homogeneous Guyana
4;Creative;Cliffs Circle;capacitor Lithuania
5;methodical;bypassing Forks Samoa;supply-chains Moldova
6;orange maximize;Generic Rhode Pizza;Frozen Direct
7;networks;Cape quantify Assurance;Bedfordshire Ergonomic Global
8;generate;Metical mindshare;Cove haptic
9;bypassing;Movies Automotive Right-sized;interface haptic
10;sky;Point up;Organic (customarily
