id;code_id;code_name;item_key;item_value_ja;item_value_en;item_value_pair;parent_code_id;parent_item_key;parent_item_key_backup;parent_item_key_new;created_timestamp;updated_timestamp
1;cyan Bedfo;programming;internet circuit PNG;Peso zero;Expanded;Tuna neural sticky;Intra;mission-critical Shirt Coordinator;Centers;sky cross-platform Bike;2023-03-05T11:55:05;2023-03-04T20:17:07
2;Rubber;Quality;Dynamic Strategist invoice;even-keeled;Incredible AGP Music;state;Rubbe;Generic override;paradigm Synergized;Avon;2023-03-05T02:22:40;2023-03-04T20:49:56
3;Practical;Licensed Strategist Chicken;withdrawal cutting-edge;Cotton Bedfordshire Advanced;Market Pennsylvania;Alabama virtual;proto;incentivize;red;Cambridgeshire white;2023-03-05T01:44:44;2023-03-04T20:46:02
4;copy Manat;Re-contextualized Operative Steel;invoice methodologies Tasty;Dinar;end-to-end payment Home;Bedfordshire architecture mesh;deplo;invoice programming Islands;upward-trending Product local;Cheese Bedfordshire;2023-03-04T22:18:40;2023-03-05T02:15:42
5;Cotton;PCI technologies Gloves;Wooden projection calculate;communities;Palladium;index Card;Brand;navigate Oklahoma Plastic;cultivate;Tasty SQL Metal;2023-03-04T19:06:56;2023-03-05T04:43:45
6;Pizza;Bedfordshire Port;navigating Organic Metal;Tactics Pakistan Paradigm;PCI payment input;bluetooth revolutionize;PCI J;neural withdrawal;Concrete Handcrafted;hack port infomediaries;2023-03-04T19:31:23;2023-03-05T00:42:30
7;Rubber Cam;Dynamic;interfaces e-tailers synthesizing;grow Wooden;index Product;Pizza;base ;Extended quantify;Ergonomic navigating niches;Paradigm bifurcated;2023-03-04T20:27:49;2023-03-05T06:35:23
8;Refined ex;Bedfordshire;Sleek reinvent 1080p;Account;Analyst Kentucky granular;Dynamic Account Gloves;Human;Home Chicken;Agent methodology Dalasi;deposit deposit;2023-03-05T10:12:11;2023-03-04T21:55:46
9;Implementa;Shoes Berkshire Gabon;Fish Berkshire;Total superstructure;Borders;Generic Garden bandwidth;payme;enterprise;Drive Cotton Specialist;Markets Wooden Ball;2023-03-04T15:14:02;2023-03-05T10:56:47
10;JSON;Towels infrastructures;matrix navigating;Account invoice Mexican;silver Bacon Architect;Salad Networked Awesome;withd;online primary;structure Car;leverage;2023-03-05T06:38:06;2023-03-04T20:30:13
